"","User_id","Age_yrs","Ethnicity","File.Name","User_task","id","Image.Size","File.Type","ISO","Light.Value","Megapixels","Aperture.Value","Brightness.Value","Exposure.Time","Sensing.Method","Shutter.Speed.Value","White.Balance","Camera.Model.Name","ExifTool.Version.Number","User_task_2","User_cam_utilization_rate","ASQ.reliabiltiy","CSUQ.satisfaction.reliabiltiy","Age","Age_yrs2","User_cam_utilization_rate2"
"13","User_13","(<18 or >65)","Brown","User_13.jpg","image_surr_no_auth",13," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.29"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",179,0.828,0.679,13,"(<18 or >65)",0.4475
"14","User_14","(<18 or >65)","White","User_14.jpg","image_surr_auth",14," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.31"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",145,0.674,0.761,30,"(>=18 or <=65)",0.3625
"15","User_15","(<18 or >65)","Brown","User_15.jpg","image_surr_no_auth",15," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.36"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",191,0.639,0.74,49,"(>=18 or <=65)",0.4775
"16","User_16","(>=18 or <=65)","White","User_16.jpg","image_surr_auth",16," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.39"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",179,0.808,0.799,65,"(<18 or >65)",0.4475
"17","User_17","(<18 or >65)","Brown","User_17.jpg","image_surr_no_auth",17," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.39"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",139,0.787,0.857,76,"(<18 or >65)",0.3475
"18","User_18","(<18 or >65)","White","User_18.jpg","image_surr_auth",18," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.39"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",163,0.787,0.762,14,"(<18 or >65)",0.4075
"19","User_19","(>=18 or <=65)","Brown","User_19.jpg","image_surr_no_auth",19," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.41"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",151,0.766,0.71,75,"(<18 or >65)",0.3775
"20","User_20","(<18 or >65)","Black","User_20.jpg","image_surr_auth",20," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.43"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",174,0.783,0.7,56,"(>=18 or <=65)",0.435
"21","User_21","(>=18 or <=65)","Brown","User_21.jpg","image_surr_no_auth",21," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.43"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",135,0.735,0.816,49,"(>=18 or <=65)",0.3375
"22","User_22","(<18 or >65)","White","User_22.jpg","image_surr_auth",22," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.44"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",165,0.899,0.751,57,"(>=18 or <=65)",0.4125
"23","User_23","(>=18 or <=65)","Brown","User_23.jpg","image_surr_no_auth",23," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.49"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",173,0.748,0.797,12,"(<18 or >65)",0.4325
"24","User_24","(<18 or >65)","Brown","User_24.jpg","image_surr_auth",24," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.51"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","existing_camera_location",161,0.794,0.774,50,"(>=18 or <=65)",0.4025
"25","User_25","(>=18 or <=65)","White","User_25.jpg","image_surr_no_auth",25," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.66"," 1/12"," One-chip color area"," 1/12"," Auto"," LM-X220"," 12.29","new_camera_location",213,0.826,0.849,81,"(<18 or >65)",0.5325
"26","User_26","(>=18 or <=65)","Black","User_26.jpg","image_surr_auth",26," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.71"," 1/12"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",161,0.837,0.771,41,"(>=18 or <=65)",0.4025
"27","User_27","(>=18 or <=65)","White","User_27.jpg","image_surr_no_auth",27," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.88"," 1/12"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",167,0.802,0.69,51,"(>=18 or <=65)",0.4175
"28","User_28","(>=18 or <=65)","Brown","User_28.jpg","image_surr_auth",28," 2880x2160"," JPEG",100," 1.0"," 13.0"," 2.2"," -0.9"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",180,0.793,0.761,52,"(>=18 or <=65)",0.45
"29","User_29","(>=18 or <=65)","White","User_29.jpg","image_surr_no_auth",29," 2880x2160"," JPEG",100," 1.1"," 13.0"," 2.2"," -0.93"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",167,0.764,0.751,11,"(<18 or >65)",0.4175
"30","User_30","(>=18 or <=65)","White","User_30.jpg","image_surr_auth",30," 2880x2160"," JPEG",100," 1.9"," 13.0"," 2.2"," -1.06"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",171,0.726,0.775,63,"(>=18 or <=65)",0.4275
"31","User_31","(>=18 or <=65)","Brown","User_31.jpg","image_surr_no_auth",31," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.11"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",157,0.73,0.779,58,"(>=18 or <=65)",0.3925
"32","User_32","(>=18 or <=65)","Brown","User_32.jpg","image_surr_auth",32," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.16"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",157,0.67,0.59,65,"(<18 or >65)",0.3925
"33","User_33","(<18 or >65)","Black","User_33.jpg","image_surr_no_auth",33," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.29"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",151,0.861,0.803,60,"(>=18 or <=65)",0.3775
"34","User_34","(>=18 or <=65)","White","User_34.jpg","image_surr_auth",34," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.29"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",154,0.809,0.874,15,"(<18 or >65)",0.385
"35","User_35","(<18 or >65)","Black","User_35.jpg","image_surr_no_auth",35," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.29"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",139,0.759,0.656,58,"(>=18 or <=65)",0.3475
"36","User_36","(>=18 or <=65)","White","User_36.jpg","image_surr_auth",36," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.41"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",148,0.682,0.695,58,"(>=18 or <=65)",0.37
"37","User_37","(<18 or >65)","Black","User_37.jpg","image_surr_no_auth",37," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -1.88"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",175,0.737,0.664,66,"(<18 or >65)",0.4375
"38","User_38","(>=18 or <=65)","White","User_38.jpg","image_surr_auth",38," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -2.44"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",131,0.749,0.711,17,"(<18 or >65)",0.3275
"39","User_39","(<18 or >65)","Black","User_39.jpg","image_surr_no_auth",39," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -2.6"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",165,0.677,0.842,35,"(>=18 or <=65)",0.4125
"40","User_40","(<18 or >65)","White","User_40.jpg","image_surr_auth",40," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -2.67"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",127,0.799,0.766,26,"(>=18 or <=65)",0.3175
"41","User_41","(>=18 or <=65)","Brown","User_41.jpg","image_surr_no_auth",41," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -2.97"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",183,0.684,0.765,72,"(<18 or >65)",0.4575
"42","User_42","(>=18 or <=65)","White","User_42.jpg","image_surr_auth",42," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -2.98"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",143,0.662,0.787,17,"(<18 or >65)",0.3575
"43","User_43","(>=18 or <=65)","Brown","User_43.jpg","image_surr_no_auth",43," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -3"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",173,0.768,0.803,31,"(>=18 or <=65)",0.4325
"44","User_44","(>=18 or <=65)","Black","User_44.jpg","image_surr_auth",44," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -3"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",146,0.735,0.703,44,"(>=18 or <=65)",0.365
"45","User_45","(>=18 or <=65)","White","User_45.jpg","image_surr_no_auth",45," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -3.01"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",159,0.863,0.783,50,"(>=18 or <=65)",0.3975
"46","User_46","(<18 or >65)","Black","User_46.jpg","image_surr_auth",46," 2880x2160"," JPEG",100," 10.2"," 13.0"," 2.2"," -3.02"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",159,0.785,0.757,12,"(<18 or >65)",0.3975
"47","User_47","(<18 or >65)","White","User_47.jpg","image_surr_no_auth",47," 2880x2160"," JPEG",1000," 10.2"," 13.0"," 2.2"," -3.06"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",159,0.714,0.738,66,"(<18 or >65)",0.3975
"48","User_48","(>=18 or <=65)","Black","User_48.jpg","image_surr_auth",48," 2880x2160"," JPEG",1000," 10.2"," 13.0"," 2.2"," -3.08"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",178,0.731,0.952,19,"(>=18 or <=65)",0.445
"49","User_49","(<18 or >65)","Brown","User_49.jpg","image_surr_no_auth",49," 2880x2160"," JPEG",1250," 10.2"," 13.0"," 2.2"," -3.09"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",167,0.812,0.847,64,"(>=18 or <=65)",0.4175
"50","User_50","(>=18 or <=65)","White","User_50.jpg","image_surr_auth",50," 2880x2160"," JPEG",1250," 10.2"," 13.0"," 2.2"," -3.11"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",158,0.748,0.723,31,"(>=18 or <=65)",0.395
"51","User_51","(>=18 or <=65)","Black","User_51.jpg","image_surr_no_auth",51," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -3.46"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",166,0.782,0.731,34,"(>=18 or <=65)",0.415
"52","User_52","(>=18 or <=65)","Black","User_52.jpg","image_surr_auth",52," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -3.62"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",138,0.611,0.799,12,"(<18 or >65)",0.345
"53","User_53","(<18 or >65)","Brown","User_53.jpg","image_surr_no_auth",53," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -4.05"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",171,0.778,0.742,59,"(>=18 or <=65)",0.4275
"54","User_54","(<18 or >65)","Brown","User_54.jpg","image_surr_auth",54," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -4.22"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",160,0.727,0.754,79,"(<18 or >65)",0.4
"55","User_55","(<18 or >65)","Brown","User_55.jpg","image_surr_no_auth",55," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -4.24"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",141,0.667,0.743,29,"(>=18 or <=65)",0.3525
"56","User_56","(<18 or >65)","White","User_56.jpg","image_surr_auth",56," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -4.26"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","existing_camera_location",165,0.713,0.786,50,"(>=18 or <=65)",0.4125
"57","User_57","(>=18 or <=65)","Black","User_57.jpg","image_surr_no_auth",57," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -4.32"," 1/120"," One-chip color area"," 1/120"," Auto"," LM-X220"," 12.29","new_camera_location",150,0.76,0.792,72,"(<18 or >65)",0.375
"58","User_58","(>=18 or <=65)","White","User_58.jpg","image_surr_auth",58," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -4.76"," 1/120"," One-chip color area"," 1/1243"," Auto"," LM-X220"," 12.29","existing_camera_location",173,0.658,0.791,80,"(<18 or >65)",0.4325
"59","User_59","(<18 or >65)","Black","User_59.jpg","image_surr_no_auth",59," 2880x2160"," JPEG",1300," 10.2"," 13.0"," 2.2"," -5.06"," 1/120"," One-chip color area"," 1/125"," Auto"," LM-X220"," 12.29","new_camera_location",150,0.674,0.748,70,"(<18 or >65)",0.375
"60","User_60","(<18 or >65)","Brown","User_60.jpg","image_surr_auth",60," 2880x2160"," JPEG",150," 10.2"," 13.0"," 2.2"," -5.07"," 1/1244"," One-chip color area"," 1/125"," Auto"," LM-X220"," 12.29","existing_camera_location",162,0.735,0.748,60,"(>=18 or <=65)",0.405
"61","User_61","(<18 or >65)","Brown","User_61.jpg","image_surr_no_auth",61," 2880x2160"," JPEG",150," 10.2"," 13.0"," 2.2"," -5.11"," 1/125"," One-chip color area"," 1/129"," Auto"," LM-X220"," 12.29","new_camera_location",146,0.767,0.768,79,"(<18 or >65)",0.365
"62","User_62","(<18 or >65)","Brown","User_62.jpg","image_surr_auth",62," 2880x2160"," JPEG",150," 10.2"," 13.0"," 2.2"," -8.57"," 1/129"," One-chip color area"," 1/13"," Auto"," LM-X220"," 12.29","existing_camera_location",161,0.7,0.631,36,"(>=18 or <=65)",0.4025
"63","User_63","(>=18 or <=65)","White","User_63.jpg","image_surr_no_auth",63," 2880x2160"," JPEG",150," 10.2"," 13.0"," 2.2"," -8.83"," 1/13"," One-chip color area"," 1/13"," Auto"," LM-X220"," 12.29","new_camera_location",137,0.862,0.824,85,"(<18 or >65)",0.3425
"64","User_64","(<18 or >65)","Brown","User_64.jpg","image_surr_auth",64," 2880x2160"," JPEG",150," 10.3"," 13.0"," 2.2"," -9.16"," 1/13"," One-chip color area"," 1/13"," Auto"," LM-X220"," 12.29","existing_camera_location",170,0.858,0.8,81,"(<18 or >65)",0.425
"65","User_65","(<18 or >65)","White","User_65.jpg","image_surr_no_auth",65," 2880x2160"," JPEG",150," 10.3"," 13.0"," 2.2"," -9.27"," 1/1326"," One-chip color area"," 1/1325"," Auto"," LM-X220"," 12.29","new_camera_location",137,0.765,0.715,57,"(>=18 or <=65)",0.3425
"66","User_66","(>=18 or <=65)","Black","User_66.jpg","image_surr_auth",66," 2880x2160"," JPEG",150," 10.3"," 13.0"," 2.2"," -9.52"," 1/133"," One-chip color area"," 1/133"," Auto"," LM-X220"," 12.29","existing_camera_location",162,0.875,0.788,69,"(<18 or >65)",0.405
"67","User_67","(>=18 or <=65)","Brown","User_67.jpg","image_surr_no_auth",67," 2880x2160"," JPEG",150," 10.3"," 13.0"," 2.2"," -9.52"," 1/133"," One-chip color area"," 1/133"," Auto"," LM-X220"," 12.29","new_camera_location",150,0.696,0.812,74,"(<18 or >65)",0.375
"68","User_68","(<18 or >65)","Black","User_68.jpg","image_surr_auth",68," 2880x2160"," JPEG",150," 10.3"," 13.0"," 2.2"," -9.52"," 1/133"," One-chip color area"," 1/133"," Auto"," LM-X220"," 12.29","existing_camera_location",152,0.772,0.765,45,"(>=18 or <=65)",0.38
"69","User_69","(>=18 or <=65)","Brown","User_69.jpg","image_surr_no_auth",69," 2880x2160"," JPEG",150," 10.3"," 13.0"," 2.2"," -9.52"," 1/133"," One-chip color area"," 1/133"," Auto"," LM-X220"," 12.29","new_camera_location",151,0.743,0.754,37,"(>=18 or <=65)",0.3775
"70","User_70","(>=18 or <=65)","Brown","User_70.jpg","image_surr_auth",70," 2880x2160"," JPEG",150," 10.4"," 13.0"," 2.2"," -9.52"," 1/133"," One-chip color area"," 1/137"," Auto"," LM-X220"," 12.29","existing_camera_location",124,0.617,0.754,28,"(>=18 or <=65)",0.31
"71","User_71","(>=18 or <=65)","Brown","User_71.jpg","image_surr_no_auth",71," 2880x2160"," JPEG",150," 10.5"," 13.0"," 2.2"," -9.52"," 1/141"," One-chip color area"," 1/141"," Auto"," LM-X220"," 12.29","new_camera_location",151,0.656,0.714,18,"(>=18 or <=65)",0.3775
"72","User_72","(<18 or >65)","White","User_72.jpg","image_surr_auth",72," 2880x2160"," JPEG",150," 10.5"," 13.0"," 2.2"," -9.52"," 1/1482"," One-chip color area"," 1/1482"," Auto"," LM-X220"," 12.29","existing_camera_location",170,0.684,0.654,39,"(>=18 or <=65)",0.425
"73","User_73","(>=18 or <=65)","White","User_73.jpg","image_surr_no_auth",73," 2880x2160"," JPEG",150," 10.5"," 13.0"," 2.2"," -9.52"," 1/149"," One-chip color area"," 1/149"," Auto"," LM-X220"," 12.29","new_camera_location",163,0.769,0.71,72,"(<18 or >65)",0.4075
"74","User_74","(<18 or >65)","Black","User_74.jpg","image_surr_auth",74," 2880x2160"," JPEG",150," 10.6"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",184,0.694,0.778,26,"(>=18 or <=65)",0.46
"75","User_75","(<18 or >65)","White","User_75.jpg","image_surr_no_auth",75," 2880x2160"," JPEG",150," 10.7"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",169,0.801,0.835,67,"(<18 or >65)",0.4225
"76","User_76","(<18 or >65)","White","User_76.jpg","image_surr_auth",76," 2880x2160"," JPEG",150," 10.8"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",150,0.664,0.836,15,"(<18 or >65)",0.375
"77","User_77","(<18 or >65)","White","User_77.jpg","image_surr_no_auth",77," 2880x2160"," JPEG",150," 10.8"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",148,0.808,0.824,41,"(>=18 or <=65)",0.37
"78","User_78","(>=18 or <=65)","Black","User_78.jpg","image_surr_auth",78," 2880x2160"," JPEG",150," 10.8"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",151,0.668,0.835,26,"(>=18 or <=65)",0.3775
"79","User_79","(>=18 or <=65)","White","User_79.jpg","image_surr_no_auth",79," 2880x2160"," JPEG",150," 10.8"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",180,0.794,0.747,75,"(<18 or >65)",0.45
"80","User_80","(>=18 or <=65)","Brown","User_80.jpg","image_surr_auth",80," 2880x2160"," JPEG",150," 10.8"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",165,0.669,0.753,15,"(<18 or >65)",0.4125
"81","User_81","(>=18 or <=65)","Brown","User_81.jpg","image_surr_no_auth",81," 2880x2160"," JPEG",150," 10.8"," 13.0"," 2.2"," -9.52"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",133,0.783,0.721,67,"(<18 or >65)",0.3325
"82","User_82","(<18 or >65)","Brown","User_82.jpg","image_surr_auth",82," 2880x2160"," JPEG",150," 10.9"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",175,0.773,0.832,11,"(<18 or >65)",0.4375
"83","User_83","(<18 or >65)","White","User_83.jpg","image_surr_no_auth",83," 2880x2160"," JPEG",150," 10.9"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",201,0.728,0.792,62,"(>=18 or <=65)",0.5025
"84","User_84","(>=18 or <=65)","Brown","User_84.jpg","image_surr_auth",84," 2880x2160"," JPEG",150," 10.9"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",151,0.702,0.822,20,"(>=18 or <=65)",0.3775
"85","User_85","(>=18 or <=65)","White","User_85.jpg","image_surr_no_auth",85," 2880x2160"," JPEG",150," 10.9"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",166,0.659,0.743,69,"(<18 or >65)",0.415
"86","User_86","(<18 or >65)","White","User_86.jpg","image_surr_auth",86," 2880x2160"," JPEG",150," 10.9"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",137,0.705,0.715,44,"(>=18 or <=65)",0.3425
"87","User_87","(<18 or >65)","White","User_87.jpg","image_surr_no_auth",87," 2880x2160"," JPEG",150," 11.0"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",183,0.796,0.718,30,"(>=18 or <=65)",0.4575
"88","User_88","(<18 or >65)","Black","User_88.jpg","image_surr_auth",88," 2880x2160"," JPEG",150," 11.0"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",125,0.763,0.837,51,"(>=18 or <=65)",0.3125
"89","User_89","(<18 or >65)","Brown","User_89.jpg","image_surr_no_auth",89," 2880x2160"," JPEG",150," 11.0"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","new_camera_location",151,0.761,0.75,15,"(<18 or >65)",0.3775
"90","User_90","(>=18 or <=65)","Black","User_90.jpg","image_surr_auth",90," 2880x2160"," JPEG",150," 11.2"," 13.0"," 2.2"," 0"," 1/15"," One-chip color area"," 1/15"," Auto"," LM-X220"," 12.29","existing_camera_location",177,0.777,0.727,18,"(>=18 or <=65)",0.4425
